config,kernel_nb,kernel_ns,k_nb,k_ns,k_all,total_filters,dropout,n_params,accuracy,balanced_acc,macro_f1,best_epoch,elapsed_s
knb15_kns7_f64-64-32_do0.4,15,7,64,64,32,160,0.4,2638980,0.8197923029932804,0.8264350467543923,0.7750715474993845,23,108.6
knb15_kns7_f96-96-48_do0.3,15,7,96,96,48,240,0.3,2695876,0.8136835675015271,0.7962899922020567,0.7589766985295363,24,151.7
knb15_kns7_f96-96-48_do0.4,15,7,96,96,48,240,0.4,2695876,0.8161270616982285,0.81810074737123,0.7700356887207891,22,142.2
knb15_kns15_f32-32-16_do0.3,15,15,32,32,16,80,0.3,2584132,0.803909590714722,0.7953683453322085,0.7527892422903146,30,113.4
knb15_kns15_f32-32-16_do0.4,15,15,32,32,16,80,0.4,2584132,0.8063530849114233,0.802178399138805,0.7636515870746288,29,110.9
knb15_kns15_f48-48-32_do0.3,15,15,48,48,32,128,0.3,2619412,0.822846670739157,0.8098366332987678,0.7730804623755471,22,108.7
knb15_kns15_f48-48-32_do0.4,15,15,48,48,32,128,0.4,2619412,0.8197923029932804,0.8134862419781056,0.7717444671627262,31,140.2
knb15_kns15_f64-64-32_do0.3,15,15,64,64,32,160,0.3,2643076,0.8167379352474038,0.8076568436353702,0.7690418035163602,22,129.2
knb15_kns15_f64-64-32_do0.4,15,15,64,64,32,160,0.4,2643076,0.8326206475259621,0.8260643110712403,0.7903906483135119,25,137.3
knb15_kns15_f96-96-48_do0.3,15,15,96,96,48,240,0.3,2702020,0.7996334758704948,0.7964876237646183,0.744923451100427,24,162.6
knb15_kns15_f96-96-48_do0.4,15,15,96,96,48,240,0.4,2702020,0.7861942577886377,0.7953995707270378,0.7380183753853474,21,139.9
knb31_kns5_f32-32-16_do0.3,31,5,32,32,16,80,0.3,2584132,0.8069639584605987,0.7947597289608436,0.7608395924259289,23,90.0
knb31_kns5_f32-32-16_do0.4,31,5,32,32,16,80,0.4,2584132,0.8008552229688455,0.8060959170807769,0.7542286263978115,23,91.5
knb31_kns5_f48-48-32_do0.3,31,5,48,48,32,128,0.3,2619412,0.7849725106902871,0.7661274878606414,0.7287360871231492,24,113.4
knb31_kns5_f48-48-32_do0.4,31,5,48,48,32,128,0.4,2619412,0.8100183262064753,0.810996357806628,0.7683051987599181,30,138.4
knb31_kns5_f64-64-32_do0.3,31,5,64,64,32,160,0.3,2643076,0.7831398900427612,0.7775833681639421,0.7328287984854145,21,117.7
knb31_kns5_f64-64-32_do0.4,31,5,64,64,32,160,0.4,2643076,0.8081857055589493,0.8086580259523066,0.7712005890420366,22,122.3
knb31_kns5_f96-96-48_do0.3,31,5,96,96,48,240,0.3,2702020,0.7306047648136835,0.73971623009712,0.6811850588655252,19,149.0
knb31_kns5_f96-96-48_do0.4,31,5,96,96,48,240,0.4,2702020,0.7843616371411118,0.7787742251240299,0.7379018105239497,26,186.2
knb31_kns7_f32-32-16_do0.3,31,7,32,32,16,80,0.3,2584644,0.7727550397067807,0.7656501862925282,0.7212794013479757,22,89.5
knb31_kns7_f32-32-16_do0.4,31,7,32,32,16,80,0.4,2584644,0.7861942577886377,0.7616857098386322,0.7306934034294716,36,137.0
knb31_kns7_f48-48-32_do0.3,31,7,48,48,32,128,0.3,2620180,0.7660354306658522,0.7570397658728062,0.7205259652216787,19,102.4
knb31_kns7_f48-48-32_do0.4,31,7,48,48,32,128,0.4,2620180,0.7855833842394624,0.7894610780548699,0.7467234867463309,22,109.1
knb31_kns7_f64-64-32_do0.3,31,7,64,64,32,160,0.3,2644100,0.8014660965180208,0.7879602331756386,0.75898356729478,22,129.6
knb31_kns7_f64-64-32_do0.4,31,7,64,64,32,160,0.4,2644100,0.7959682345754429,0.7886001481525726,0.7426996164757834,26,140.6
knb31_kns7_f96-96-48_do0.3,31,7,96,96,48,240,0.3,2703556,0.773365913255956,0.7605503106594663,0.7185027664774816,26,173.7
knb31_kns7_f96-96-48_do0.4,31,7,96,96,48,240,0.4,2703556,0.7813072693952352,0.7750074617418818,0.7319216675277029,26,196.0
knb31_kns15_f32-32-16_do0.3,31,15,32,32,16,80,0.3,2586692,0.744654856444716,0.7489027554185663,0.6993796425765209,24,116.6
knb31_kns15_f32-32-16_do0.4,31,15,32,32,16,80,0.4,2586692,0.7574832009773976,0.7483026235634049,0.7019253700547274,26,119.9
knb31_kns15_f48-48-32_do0.3,31,15,48,48,32,128,0.3,2623252,0.811240073304826,0.7933313308112133,0.7625993698017945,32,179.4
knb31_kns15_f48-48-32_do0.4,31,15,48,48,32,128,0.4,2623252,0.7898594990836897,0.7757714314877608,0.7382269502352374,25,143.5
knb31_kns15_f64-64-32_do0.3,31,15,64,64,32,160,0.3,2648196,0.7519853390348198,0.7522346045913237,0.7018409483364006,20,137.0
knb31_kns15_f64-64-32_do0.4,31,15,64,64,32,160,0.4,2648196,0.7813072693952352,0.7698622762216182,0.7335429554012398,35,178.8
knb31_kns15_f96-96-48_do0.3,31,15,96,96,48,240,0.3,2709700,0.7806963958460599,0.785824716278029,0.7391567958709784,28,229.1
knb31_kns15_f96-96-48_do0.4,31,15,96,96,48,240,0.4,2709700,0.7806963958460599,0.7699616185854377,0.7320090279897749,34,264.3
